"id";"descripcion";"precio";"oficinas_id";"cod_SPAFE";"cod_MINCYT";"cuentas_idcuentas"
111;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28120;679
112;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28121;679
113;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28122;679
114;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28123;679
115;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;0;"";28124;677
116;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;0;"";28125;677
117;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;0;"";28126;677
118;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;0;"";28127;677
119;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;0;"";28128;677
120;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;0;"";28129;677
121;"Biblioteca con puertas y cerradura 96 x H192,5 x 40.5cm 6 estantes regulables.";100000.0;0;"";28130;315
122;"Biblioteca con puertas y cerradura 96 x H192,5 x 40.5cm 6 estantes regulables.";100000.0;0;"";28131;315
123;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28132;679
124;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28133;679
125;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28134;679
126;"Biblioteca con puertas y cerradura 96 x H192,5 x 40.5cm 6 estantes regulables.";100000.0;0;"";28135;315
127;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28136;339
128;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28137;339
129;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28138;339
130;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28139;294
131;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28140;294
132;"Perchero, Ac. Inox.

		
";40000.0;0;"";28141;628
133;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;0;"";28142;677
134;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28143;294
135;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28144;294
136;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28145;294
137;"Armario blanco con cerradura de dos puertas. Medidas: 90 x 75 x 40,5 cm.";140000.0;0;"";28146;294
138;"Escritorio 140x70cm base en aluminio anodizado natural, tapa melamina - Tapafalda melaminico de largo 120 x 30 cm de alto
";200000.0;0;"";28147;450
139;"Escritorio 140x70cm base en aluminio anodizado natural, tapa melamina - Tapafalda melaminico de largo 120 x 30 cm de alto
";200000.0;0;"";28148;450
